model,kernel,seed,test_accuracy
mlp,NA,41,0.5220000147819519
mlp,NA,42,0.5156000256538391
mlp,NA,43,0.48399999737739563

cnn,3,41,0.7652000188827515
cnn,3,42,0.7789999842643738
cnn,3,43,0.7954000234603882

cnn,5,41,0.7882000207901001
cnn,5,42,0.7793999910354614
cnn,5,43,0.795199990272522
